2024-02-20 19:04:03.238 [main] INFO  vip.lematech.hrun4j.helper.LogHelper -  Add function to static code block ! 
2024-02-20 19:04:05.457 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - [====================getScene====================]@START 
2024-02-20 19:04:08.268 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - [extract]：{website=http://lematech.vip, author=lematech, project=hrun4j, $RESPONSE=ResponseEntity(statusCode=200, headers={date=Tue, 20 Feb 2024 11:04:07 GMT, content-length=490, set-cookie=sails.sid=s%3A1zNho2PnPKSC2fgs9WqwXQFTRbRPWA0O.fYfigHqJtpBnpYXerr4SmWD6J6l4hW91Ah2XCQw%2Fi5g; Path=/; HttpOnly, content-type=application/json; charset=utf-8, etag=W/"1ea-H22F9ePmaJVZUOIGKltqyUlBK48"}, time=2.235, body={"args":{"website":"http://lematech.vip","author":"lematech","project":"hrun4j","page":"{page}"},"headers":{"x-amzn-trace-id":"Root=1-65d48727-0fb458376f5482b9647fbc76","x-forwarded-proto":"https","host":"postman-echo.com","x-forwarded-port":"443","accept-encoding":"gzip","user-agent":"okhttp/3.14.9"},"url":"https://postman-echo.com/get?website=http://lematech.vip&project=hrun4j&author=lematech&page={page}"}, cookies=null, contentLength=490), $REQUEST=RequestEntity(method=GET, url=https://postman-echo.com/get?website=http://lematech.vip&project=hrun4j&author=lematech&page={page}, params=null, data=null, json=null, headers=null, connectTimeout=null, allowRedirects=true, writeTimeout=null, readTimeout=null, cookies=null, files={}, auth=null, proxy=null, stream=true)} 
2024-02-20 19:04:08.413 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - 检查点：status_code，预期值：200，实际值：200，测试结论：通过 
2024-02-20 19:04:08.418 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - 检查点：body.args.website，预期值：http://lematech.vip，实际值：http://lematech.vip，测试结论：通过 
2024-02-20 19:04:08.419 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - 检查点：${author}，预期值：lematech，实际值：lematech，测试结论：通过 
2024-02-20 19:04:08.420 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - 检查点：^website":"(.*?)"$，预期值：website":"http://lematech.vip"，实际值：website":"http://lematech.vip"，测试结论：通过 
2024-02-20 19:04:08.421 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - 当前步骤：Reference Api 
2024-02-20 19:04:08.509 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - 请求地址：https://postman-echo.com/get?website=http://lematech.vip&project=hrun4j&author=lematechvip 
2024-02-20 19:04:08.509 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - 请求类型：GET 
2024-02-20 19:04:09.144 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - 响应码：200 
2024-02-20 19:04:09.145 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - 响应体：{"args":{"website":"http://lematech.vip","author":"lematechvip","project":"hrun4j"},"headers":{"x-amzn-trace-id":"Root=1-65d48728-0b68718d189ac55608537705","x-forwarded-proto":"https","host":"postman-echo.com","x-forwarded-port":"443","accept-encoding":"gzip","user-agent":"okhttp/3.14.9"},"url":"https://postman-echo.com/get?website=http://lematech.vip&project=hrun4j&author=lematechvip"} 
2024-02-20 19:04:09.145 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - 响应内容长度：462 
2024-02-20 19:04:09.145 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - 响应时间：0.632 秒 
2024-02-20 19:04:09.145 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - 响应头：{"date":"Tue, 20 Feb 2024 11:04:08 GMT","content-length":"462","set-cookie":"sails.sid=s%3AF1GW0kSCZxkMflX5TJhFedPAtXIe8vrU.Oat7vCX0tbrNbJ%2F1P1WnvM7uFRJ%2BP%2Fj0XNTV%2FvWy8co; Path=/; HttpOnly","content-type":"application/json; charset=utf-8","etag":"W/\"1ce-qerfCUjU3lgE0lYxS5HgeCfsUho\""} 
2024-02-20 19:04:09.145 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - 响应cookie： 
2024-02-20 19:04:09.147 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - 检查点：status_code，预期值：200，实际值：200，测试结论：通过 
2024-02-20 19:04:09.148 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - [====================getScene====================]@END 
2024-02-20 19:04:09.152 [main] INFO  vip.lematech.hrun4j.helper.LogHelper - [========================================]@afterSuite() 
